time,x,y,z,gforce
7.035,0.26,0.38,4.12
7.041,0.46,1.57,0.42
7.070,0.64,0.74,2.26
7.087,0.72,0.31,1.85
7.137,0.27,-0.60,-5.44
7.145,-2.50,-0.40,0.27
7.167,-0.63,-0.08,2.00
7.189,0.73,0.31,-0.68
7.201,0.52,0.28,-0.96
7.226,-0.13,0.12,-0.28
7.244,-0.66,0.26,0.06
7.272,-0.92,0.31,-0.36
7.300,0.11,0.03,-0.33
7.322,0.38,-0.00,-0.31
7.365,0.40,0.04,-0.11
7.379,0.06,0.14,0.00
7.381,-0.20,0.16,-0.21
7.400,-0.20,0.15,-0.41
7.413,-0.12,0.12,-0.35
7.455,-0.01,0.10,-0.09
7.469,0.11,0.18,-0.11
7.490,0.03,0.18,-0.28
7.524,-0.08,0.17,-0.26
7.526,-0.21,0.17,-0.30
7.561,-0.17,0.17,-0.24
7.570,-0.03,0.08,-0.19
7.586,0.05,0.08,-0.22
7.610,0.06,0.12,-0.13
7.644,0.05,0.16,-0.20
7.665,-0.02,0.10,-0.24
7.669,-0.08,0.08,-0.26
7.696,-0.09,0.07,-0.30
7.738,-0.05,0.09,-0.26
7.758,0.03,0.08,-0.16
7.759,-0.02,0.08,-0.16
7.774,-0.04,0.06,-0.24
7.792,-0.04,0.10,-0.26
7.833,0.06,0.13,-0.22
7.847,0.03,0.13,-0.13
7.863,0.01,0.11,-0.20
7.888,0.01,0.11,-0.16
7.904,-0.00,0.06,-0.20
7.922,-0.00,0.06,-0.23
7.946,-0.03,0.08,-0.27
7.965,0.02,0.08,-0.20
7.984,-0.01,0.08,-0.19
8.006,-0.01,0.08,-0.23
8.040,-0.01,0.08,-0.20
8.051,-0.02,0.09,-0.19
8.068,-0.05,0.06,-0.19
8.094,-0.09,0.06,-0.18
8.127,-0.04,0.06,-0.20
8.139,-0.01,0.07,-0.22
8.151,-0.01,0.09,-0.20
8.179,-0.01,0.04,-0.22
8.212,0.04,0.06,-0.20
8.246,0.03,0.07,-0.13
8.270,0.01,0.07,-0.23
8.280,-0.03,0.06,-0.18
8.294,-0.03,0.07,-0.15
8.315,-0.04,0.08,-0.20
8.346,-0.03,0.08,-0.23
8.372,-0.01,0.05,-0.18
8.409,-0.03,0.05,-0.19
8.423,-0.03,0.05,-0.20
8.425,-0.04,0.05,-0.26
8.449,-0.01,0.04,-0.23
8.491,0.00,0.07,-0.26
8.508,-0.04,0.03,-0.27
8.510,-0.00,0.03,-0.16
8.524,-0.03,0.03,-0.20
8.618,0.00,0.05,-0.18
8.802,-0.00,0.05,-0.19
8.804,-0.03,0.05,-0.23
8.805,-0.02,0.09,-0.15
8.808,0.02,0.06,-0.20
8.809,-0.01,0.03,-0.22
8.810,-0.04,0.06,-0.23
8.811,-0.05,0.05,-0.20
8.811,-0.02,0.06,-0.16
8.813,-0.05,0.06,-0.20
8.814,-0.02,0.03,-0.26
8.815,-0.05,0.03,-0.24
8.825,-0.02,0.03,-0.22
8.856,-0.02,0.01,-0.18
8.879,-0.01,0.05,-0.16
8.889,-0.04,0.03,-0.19
8.891,-0.02,0.05,-0.22
8.913,-0.04,0.04,0.00
8.933,-0.02,0.01,-0.19
8.988,-0.02,0.05,-0.19
8.989,-0.01,0.01,-0.23
9.009,-0.02,0.02,-0.18
9.024,-0.03,0.05,-0.16
9.077,-0.03,0.02,-0.23
9.081,0.03,0.02,-0.18
9.105,0.01,0.05,-0.18
9.116,-0.00,0.02,-0.20
9.130,-0.03,0.04,-0.19
9.150,-0.04,0.04,-0.13
9.181,-0.03,0.02,-0.20
9.195,-0.02,0.02,-0.15
9.208,-0.03,0.03,-0.13
9.234,-0.04,0.01,-0.20
9.267,-0.03,0.01,-0.18
9.283,-0.00,0.03,-0.26
9.296,-0.07,0.04,-0.23
9.324,-0.03,0.04,-0.19
9.351,-0.02,0.02,-0.20
9.362,-0.04,-0.00,-0.18
9.400,-0.03,0.01,-0.13
9.402,-0.04,0.02,-0.16
9.432,-0.01,0.04,-0.22
9.455,-0.00,0.02,-0.20
9.487,-0.04,0.01,-0.22
9.488,-0.04,0.01,-0.19
9.507,-0.02,0.01,-0.22
9.537,-0.03,0.01,-0.13
9.606,-0.00,0.01,-0.20
9.621,-0.04,0.01,-0.22
9.623,-0.03,0.01,-0.20
9.624,-0.03,0.01,-0.18
9.640,-0.04,0.02,-0.18
9.685,-0.03,0.01,-0.16
9.702,-0.03,0.01,-0.20
9.720,-0.02,0.03,-0.19
9.736,0.01,0.02,-0.05
9.761,-0.02,0.01,-0.18
9.773,-0.02,0.00,-0.23
9.822,-0.05,0.00,-0.23
9.827,-0.06,-0.01,-0.18
9.830,-0.06,0.00,-0.19
9.849,-0.04,-0.01,-0.20
9.898,-0.02,0.00,-0.13
9.915,-0.03,-0.01,-0.16
9.930,-0.03,-0.01,-0.20
9.956,-0.02,-0.01,-0.15
9.961,-0.03,0.00,-0.18
9.981,-0.02,0.00,-0.20
10.013,-0.03,0.01,-0.18
10.031,-0.02,0.01,-0.20
10.046,-0.00,-0.00,-0.13
10.067,-0.06,0.04,-0.26
10.098,-0.00,0.03,-0.30
10.115,-0.03,0.03,-0.16
10.137,-0.03,0.03,-0.13
10.158,-0.03,-0.00,-0.20
10.197,-0.01,0.03,-0.30
10.200,0.01,0.03,-0.13
10.223,-0.01,0.01,-0.15
10.234,-0.03,-0.00,-0.16
10.258,-0.05,-0.00,-0.23
10.290,-0.03,0.01,-0.22
10.301,0.02,-0.02,-0.23
10.319,-0.06,0.02,-0.24
10.340,-0.06,0.02,-0.26
10.374,-0.05,-0.00,-0.31
10.385,-0.01,-0.00,-0.16
10.399,-0.00,-0.00,-0.15
10.425,-0.02,-0.06,-0.19
10.454,-0.03,-0.00,-0.23
10.473,-0.03,-0.00,-0.20
10.497,-0.04,0.04,-0.19
10.508,-0.06,0.06,-0.22
10.528,-0.04,0.05,-0.20
10.553,-0.04,0.02,-0.23
10.571,-0.06,-0.02,-0.26
10.614,-0.05,0.02,-0.19
10.632,-0.05,-0.02,-0.20
10.643,-0.03,-0.02,-0.23
10.657,-0.02,-0.02,-0.26
10.674,-0.05,-0.00,-0.26
10.872,-0.05,-0.01,-0.23
10.873,-0.01,-0.05,-0.22
10.874,-0.02,-0.04,-0.19
10.876,-0.01,-0.00,-0.20
10.877,-0.04,-0.01,-0.23
10.878,-0.04,0.01,-0.23
10.879,-0.04,-0.01,-0.18
10.880,-0.05,-0.01,-0.15
10.889,0.00,0.01,-0.19
10.890,-0.01,0.02,-0.19
10.918,-0.03,0.02,-0.16
10.944,-0.04,0.02,-0.18
10.962,-0.05,-0.01,-0.23
10.982,-0.05,-0.01,-0.13
11.009,-0.06,-0.01,-0.20
11.023,-0.05,0.02,-0.23
11.049,0.01,-0.01,-0.26
11.076,0.03,0.00,-0.24
